ds,sls
31-Jan-2016,5261715.27
1-Feb-2016,4406337.18
2-Feb-2016,5285502.03
3-Feb-2016,3969817.56
4-Feb-2016,3939653.81
5-Feb-2016,4872136.52
6-Feb-2016,5432088.47
7-Feb-2016,3754042.52
8-Feb-2016,3316809.46
9-Feb-2016,3682307.43
10-Feb-2016,5021319.88
11-Feb-2016,5688623.18
12-Feb-2016,6713590.07
13-Feb-2016,6939987.40
14-Feb-2016,4985448.12
15-Feb-2016,3821003.77
16-Feb-2016,3994602.42
17-Feb-2016,3987048.86
18-Feb-2016,4242979.25
19-Feb-2016,4806644.16
20-Feb-2016,5143689.88
21-Feb-2016,3957979.54
22-Feb-2016,3481030.26
23-Feb-2016,3778791.06
24-Feb-2016,5580813.16
25-Feb-2016,4675165.71
26-Feb-2016,5411510.86
27-Feb-2016,6465773.82
28-Feb-2016,4303130.08
29-Feb-2016,3612104.79
1-Mar-2016,3892379.00
2-Mar-2016,4204333.20
3-Mar-2016,4094394.70
4-Mar-2016,4712519.23
5-Mar-2016,5225784.94
6-Mar-2016,4040694.00
7-Mar-2016,3409470.07
8-Mar-2016,3734643.81
9-Mar-2016,4289079.06
10-Mar-2016,4193501.43
11-Mar-2016,4821222.61
12-Mar-2016,5621147.83
13-Mar-2016,4251625.36
14-Mar-2016,3786671.87
15-Mar-2016,3940552.76
16-Mar-2016,6679676.18
17-Mar-2016,5508913.97
18-Mar-2016,5843287.98
19-Mar-2016,6616142.00
20-Mar-2016,5291847.01
21-Mar-2016,4550885.96
22-Mar-2016,5477836.25
23-Mar-2016,4116455.89
24-Mar-2016,4184514.08
25-Mar-2016,5110095.02
26-Mar-2016,5062056.90
27-Mar-2016,2747915.76
28-Mar-2016,3437315.97
29-Mar-2016,3567883.43
30-Mar-2016,4726863.12
31-Mar-2016,4785495.55
1-Apr-2016,9365922.32
2-Apr-2016,8965538.23
3-Apr-2016,7754149.39
4-Apr-2016,3698324.67
5-Apr-2016,3810424.37
6-Apr-2016,4055455.52
7-Apr-2016,4090318.91
8-Apr-2016,4853917.41
9-Apr-2016,4930190.71
10-Apr-2016,3832124.90
11-Apr-2016,3358272.22
12-Apr-2016,3625770.65
13-Apr-2016,6438558.12
14-Apr-2016,5792852.02
15-Apr-2016,6421012.12
16-Apr-2016,6906483.83
17-Apr-2016,5464156.07
18-Apr-2016,4473585.11
19-Apr-2016,5146485.32
20-Apr-2016,4632429.13
21-Apr-2016,4285323.88
22-Apr-2016,5389380.22
23-Apr-2016,5646425.61
24-Apr-2016,4376618.78
25-Apr-2016,3860271.48
26-Apr-2016,4390555.60
27-Apr-2016,5460432.14
28-Apr-2016,5098576.24
29-Apr-2016,7613253.12
30-Apr-2016,7221932.09
1-May-2016,5752235.55
2-May-2016,4237678.34
3-May-2016,4281429.16
4-May-2016,5657230.97
5-May-2016,5087400.16
6-May-2016,5935198.38
7-May-2016,6678748.66
8-May-2016,4431833.72
9-May-2016,3689499.61
10-May-2016,4197760.65
11-May-2016,4983337.64
12-May-2016,4955750.26
13-May-2016,6048094.32
14-May-2016,6049343.56
15-May-2016,4769925.49
16-May-2016,4166680.71
17-May-2016,4191811.41
18-May-2016,4805938.15
19-May-2016,4544415.70
20-May-2016,5271529.61
21-May-2016,5423045.77
22-May-2016,4358355.23
23-May-2016,4045904.76
24-May-2016,4457225.18
25-May-2016,6049207.44
26-May-2016,5592640.39
27-May-2016,6372579.34
28-May-2016,6909080.42
29-May-2016,5297303.28
30-May-2016,4507782.13
31-May-2016,4700454.60
1-Jun-2016,4606795.53
2-Jun-2016,4799144.73
3-Jun-2016,5240710.99
4-Jun-2016,4930472.30
5-Jun-2016,4046611.27
6-Jun-2016,3657926.03
7-Jun-2016,4161431.90
8-Jun-2016,4681829.68
9-Jun-2016,4557627.64
10-Jun-2016,5211449.72
11-Jun-2016,4911102.18
12-Jun-2016,3788420.54
13-Jun-2016,3549453.36
14-Jun-2016,4377694.87
15-Jun-2016,7814591.63
16-Jun-2016,6295873.01
17-Jun-2016,7051539.90
18-Jun-2016,7688763.19
19-Jun-2016,5328862.33
20-Jun-2016,4802525.01
21-Jun-2016,5613812.92
22-Jun-2016,4059655.87
23-Jun-2016,4133421.50
24-Jun-2016,4905923.15
25-Jun-2016,4748948.53
26-Jun-2016,3694714.74
27-Jun-2016,3563448.48
28-Jun-2016,4147273.84
29-Jun-2016,6389005.41
30-Jun-2016,6634576.42
1-Jul-2016,7506994.16
2-Jul-2016,6994392.17
3-Jul-2016,5283058.29
4-Jul-2016,3678221.95
5-Jul-2016,4325060.46
6-Jul-2016,4202944.20
7-Jul-2016,4501307.01
8-Jul-2016,4838250.32
9-Jul-2016,4953213.06
10-Jul-2016,4086879.01
11-Jul-2016,3685578.41
12-Jul-2016,3698819.30
13-Jul-2016,5289937.16
14-Jul-2016,5641280.28
15-Jul-2016,6547372.53
16-Jul-2016,7325554.72
17-Jul-2016,6121612.80
18-Jul-2016,4020951.02
19-Jul-2016,4364673.13
20-Jul-2016,3912866.80
21-Jul-2016,3908548.98
22-Jul-2016,4649903.25
23-Jul-2016,4752286.79
24-Jul-2016,3684897.15
25-Jul-2016,3502974.72
26-Jul-2016,3812872.44
27-Jul-2016,4946904.85
28-Jul-2016,4675652.78
29-Jul-2016,6069496.99
30-Jul-2016,6241777.91
31-Jul-2016,4954343.36
1-Aug-2016,4437666.12
2-Aug-2016,4891341.33
3-Aug-2016,5232772.28
4-Aug-2016,5044585.31
5-Aug-2016,5313487.38
6-Aug-2016,5198403.10
7-Aug-2016,4199328.31
8-Aug-2016,3647794.50
9-Aug-2016,3829513.16
10-Aug-2016,6401740.93
11-Aug-2016,5751327.93
12-Aug-2016,6982451.79
13-Aug-2016,7854279.86
14-Aug-2016,6074419.49
15-Aug-2016,5366858.76
16-Aug-2016,6097389.08
17-Aug-2016,4500805.79
18-Aug-2016,4477760.59
19-Aug-2016,5245002.43
20-Aug-2016,5238404.56
21-Aug-2016,4016235.71
22-Aug-2016,3509234.42
